muestras,Accesion ,Pooles20,Pooles30,Pooles40,Pooles50
Bromus001,24,20,30,40,50
Bromus002,24,60,60,60,60
Bromus003,24,20,30,40,50
Bromus004,24,20,30,40,50
Bromus005,24,20,30,40,50
Bromus006,24,20,30,40,50
Bromus007,24,60,60,60,60
Bromus008,24,20,30,40,50
Bromus009,24,60,60,60,60
Bromus010,24,20,30,40,50
Bromus011,24,20,30,40,50
Bromus012,24,30,30,40,50
Bromus013,24,30,30,40,50
Bromus014,24,30,30,40,50
Bromus015,24,60,60,60,60
Bromus016,24,60,60,60,60
Bromus017,24,30,30,40,50
Bromus018,24,30,30,40,50
Bromus019,24,30,30,40,50
Bromus020,24,30,30,40,50
Bromus021,24,30,30,40,50
Bromus022,24,30,30,40,50
Bromus023,24,30,30,40,50
Bromus024,24,40,40,40,50
Bromus025,24,60,60,60,60
Bromus026,24,40,40,40,50
Bromus027,24,40,40,40,50
Bromus028,24,60,60,60,60
Bromus029,24,60,60,60,60
Bromus030,24,60,60,60,60
Bromus031,24,60,60,60,60
Bromus032,24,40,40,40,50
Bromus033,24,40,40,40,50
Bromus034,24,40,40,40,50
Bromus035,24,40,40,40,50
Bromus036,24,40,40,40,50
Bromus037,24,40,40,40,50
Bromus038,24,40,40,40,50
Bromus039,24,50,50,50,50
Bromus040,24,20,30,40,50
Bromus041,24,50,50,50,50
Bromus042,24,50,50,50,50
Bromus043,24,50,50,50,50
Bromus044,24,50,50,50,50
Bromus045,24,50,50,50,50
Bromus046,24,50,50,50,50
Bromus047,24,50,50,50,50
Bromus048,24,50,50,50,50
Bromus049,24,50,50,50,50
Bromus050,24,20,30,40,50
Bromus051,24,20,30,40,50
Bromus052,24,20,30,40,50
Bromus053,24,20,30,40,50
Bromus054,24,20,30,40,50
Bromus055,24,20,30,40,50
Bromus056,24,20,30,40,50
Bromus057,24,20,30,40,50
Bromus058,24,20,30,40,50
Bromus059,24,20,30,40,50
Bromus060,24,20,30,40,50
Bromus071,28,30,30,40,50
Bromus072,28,30,30,40,50
Bromus073,28,40,40,40,50
Bromus074,28,40,40,40,50
Bromus075,28,40,40,40,50
Bromus076,28,40,40,40,50
Bromus077,28,40,40,40,50
Bromus078,28,40,40,40,50
Bromus079,28,40,40,40,50
Bromus080,28,40,40,40,50
Bromus081,28,40,40,40,50
Bromus082,28,40,40,40,50
Bromus083,28,50,50,50,50
Bromus084,28,50,50,50,50
Bromus085,28,50,50,50,50
Bromus086,28,50,50,50,50
Bromus087,28,50,50,50,50
Bromus088,28,50,50,50,50
Bromus089,28,60,60,60,60
Bromus090,28,60,60,60,60
Bromus091,28,60,60,60,60
Bromus092,28,50,50,50,50
Bromus093,28,60,60,60,60
Bromus094,28,60,60,60,60
Bromus095,28,60,60,60,60
Bromus096,28,50,50,50,50
Bromus097,28,50,50,50,50
Bromus098,28,60,60,60,60
Bromus099,28,50,50,50,50
Bromus100,28,60,60,60,60
Bromus101,28,60,60,60,60
Bromus102,28,60,60,60,60
Bromus103,28,20,30,40,50
Bromus104,28,20,30,40,50
Bromus105,28,20,30,40,50
Bromus106,28,20,30,40,50
Bromus107,28,20,30,40,50
Bromus108,28,20,30,40,50
Bromus109,28,20,30,40,50
Bromus110,28,20,30,40,50
Bromus111,28,20,30,40,50
Bromus112,28,20,30,40,50
Bromus113,28,20,30,40,50
Bromus114,28,20,30,40,50
Bromus115,28,20,30,40,50
Bromus116,28,20,30,40,50
Bromus117,28,20,30,40,50
Bromus118,28,20,30,40,50
Bromus119,28,20,30,40,50
Bromus120,28,20,30,40,50
Bromus121,28,20,30,40,50
Bromus122,28,20,30,40,50
Bromus123,28,30,30,40,50
Bromus124,28,30,30,40,50
Bromus125,28,30,30,40,50
Bromus126,28,30,30,40,50
Bromus127,28,30,30,40,50
Bromus128,28,30,30,40,50
Bromus129,28,30,30,40,50
Bromus130,28,30,30,40,50
Bromus141,50,40,40,40,50
Bromus142,50,40,40,40,50
Bromus143,50,40,40,40,50
Bromus144,50,40,40,40,50
Bromus145,50,40,40,40,50
Bromus146,50,50,50,50,50
Bromus147,50,50,50,50,50
Bromus148,50,50,50,50,50
Bromus149,50,50,50,50,50
Bromus150,50,50,50,50,50
Bromus151,50,50,50,50,50
Bromus152,50,50,50,50,50
Bromus153,50,50,50,50,50
Bromus154,50,50,50,50,50
Bromus155,50,50,50,50,50
Bromus156,50,60,60,60,60
Bromus157,50,60,60,60,60
Bromus158,50,60,60,60,60
Bromus159,50,60,60,60,60
Bromus160,50,60,60,60,60
Bromus161,50,60,60,60,60
Bromus162,50,60,60,60,60
Bromus163,50,60,60,60,60
Bromus164,50,60,60,60,60
Bromus165,50,60,60,60,60
Bromus166,50,20,30,40,50
Bromus167,50,20,30,40,50
Bromus168,50,20,30,40,50
Bromus169,50,20,30,40,50
Bromus170,50,20,30,40,50
Bromus171,50,20,30,40,50
Bromus172,50,20,30,40,50
Bromus173,50,20,30,40,50
Bromus174,50,20,30,40,50
Bromus175,50,20,30,40,50
Bromus176,50,20,30,40,50
Bromus177,50,20,30,40,50
Bromus178,50,20,30,40,50
Bromus179,50,20,30,40,50
Bromus180,50,20,30,40,50
Bromus181,50,20,30,40,50
Bromus182,50,20,30,40,50
Bromus183,50,20,30,40,50
Bromus184,50,20,30,40,50
Bromus185,50,20,30,40,50
Bromus186,50,30,30,40,50
Bromus187,50,30,30,40,50
Bromus188,50,30,30,40,50
Bromus189,50,30,30,40,50
Bromus190,50,30,30,40,50
Bromus191,50,30,30,40,50
Bromus192,50,30,30,40,50
Bromus193,50,30,30,40,50
Bromus194,50,30,30,40,50
Bromus195,50,40,40,40,50
Bromus196,50,40,40,40,50
Bromus197,50,40,40,40,50
Bromus198,50,40,40,40,50
Bromus211,87,20,30,40,50
Bromus212,87,20,30,40,50
Bromus213,87,20,30,40,50
Bromus214,87,20,30,40,50
Bromus215,87,20,30,40,50
Bromus216,87,20,30,40,50
Bromus217,87,20,30,40,50
Bromus218,87,20,30,40,50
Bromus219,87,20,30,40,50
Bromus220,87,20,30,40,50
Bromus221,87,20,30,40,50
Bromus222,87,20,30,40,50
Bromus223,87,20,30,40,50
Bromus224,87,20,30,40,50
Bromus225,87,20,30,40,50
Bromus226,87,20,30,40,50
Bromus227,87,20,30,40,50
Bromus228,87,20,30,40,50
Bromus230,87,20,30,40,50
Bromus231,87,30,30,40,50
Bromus232,87,30,30,40,50
Bromus233,87,30,30,40,50
Bromus234,87,30,30,40,50
Bromus235,87,30,30,40,50
Bromus236,87,30,30,40,50
Bromus237,87,60,60,60,60
Bromus238,87,60,60,60,60
Bromus239,87,30,30,40,50
Bromus240,87,60,60,60,60
Bromus241,87,30,30,40,50
Bromus242,87,60,60,60,60
Bromus243,87,30,30,40,50
Bromus244,87,30,30,40,50
Bromus245,87,60,60,60,60
Bromus246,87,40,40,40,50
Bromus247,87,40,40,40,50
Bromus248,87,60,60,60,60
Bromus249,87,40,40,40,50
Bromus250,87,40,40,40,50
Bromus251,87,60,60,60,60
Bromus252,87,40,40,40,50
Bromus253,87,40,40,40,50
Bromus255,87,40,40,40,50
Bromus256,87,60,60,60,60
Bromus257,87,60,60,60,60
Bromus258,87,40,40,40,50
Bromus259,87,40,40,40,50
Bromus260,87,50,50,50,50
Bromus261,87,50,50,50,50
Bromus262,87,60,60,60,60
Bromus263,87,50,50,50,50
Bromus264,87,50,50,50,50
Bromus265,87,50,50,50,50
Bromus266,87,50,50,50,50
Bromus267,87,50,50,50,50
Bromus268,87,50,50,50,50
Bromus269,87,50,50,50,50
Bromus270,87,50,50,50,50
Bromus281,88,20,30,40,50
Bromus282,88,20,30,40,50
Bromus283,88,20,30,40,50
Bromus284,88,20,30,40,50
Bromus285,88,20,30,40,50
Bromus286,88,20,30,40,50
Bromus287,88,20,30,40,50
Bromus288,88,20,30,40,50
Bromus289,88,20,30,40,50
Bromus290,88,20,30,40,50
Bromus291,88,20,30,40,50
Bromus292,88,20,30,40,50
Bromus293,88,20,30,40,50
Bromus294,88,20,30,40,50
Bromus295,88,20,30,40,50
Bromus296,88,20,30,40,50
Bromus297,88,20,30,40,50
Bromus298,88,20,30,40,50
Bromus299,88,20,30,40,50
Bromus300,88,20,30,40,50
Bromus301,88,30,30,40,50
Bromus302,88,30,30,40,50
Bromus303,88,30,30,40,50
Bromus304,88,30,30,40,50
Bromus305,88,30,30,40,50
Bromus306,88,30,30,40,50
Bromus307,88,30,30,40,50
Bromus308,88,60,60,60,60
Bromus309,88,30,30,40,50
Bromus310,88,60,60,60,60
Bromus311,88,60,60,60,60
Bromus312,88,30,30,40,50
Bromus313,88,60,60,60,60
Bromus314,88,60,60,60,60
Bromus315,88,30,30,40,50
Bromus316,88,40,40,40,50
Bromus317,88,40,40,40,50
Bromus318,88,40,40,40,50
Bromus319,88,40,40,40,50
Bromus320,88,40,40,40,50
Bromus321,88,40,40,40,50
Bromus322,88,40,40,40,50
Bromus323,88,40,40,40,50
Bromus324,88,40,40,40,50
Bromus325,88,40,40,40,50
Bromus326,88,50,50,50,50
Bromus327,88,60,60,60,60
Bromus328,88,60,60,60,60
Bromus329,88,50,50,50,50
Bromus330,88,50,50,50,50
Bromus331,88,50,50,50,50
Bromus332,88,50,50,50,50
Bromus333,88,50,50,50,50
Bromus334,88,50,50,50,50
Bromus335,88,50,50,50,50
Bromus336,88,50,50,50,50
Bromus337,88,50,50,50,50
Bromus338,88,60,60,60,60
Bromus339,88,60,60,60,60
Bromus340,88,60,60,60,60